year,country,lineup_spots,mlb_share
1986,USA,1347190,0.8671
1986,Dominican Republic,162206,0.0491
1986,Venezuela,111748,0.0170
1986,Puerto Rico,74087,0.0341
1986,Cuba,33431,0.0053
1986,Canada,20103,0.0017
1986,Mexico,14383,0.0056
1986,Japan,13508,0.0000
2025,USA,33432,0.6868
2025,Dominican Republic,4898,0.1006
2025,Venezuela,4000,0.0822
2025,Cuba,1469,0.0302
2025,Puerto Rico,1127,0.0232
2025,Canada,818,0.0168
2025,Mexico,565,0.0116
2025,Japan,535,0.0110
2025,Curacao,388,0.0080
2025,Panama,296,0.0061
2025,Republic of Korea,292,0.0060
2025,Germany,228,0.0047
2025,Colombia,147,0.0030
2025,Aruba,141,0.0029
2025,Bahamas,125,0.0026
2025,Honduras,104,0.0021
2025,Australia,63,0.0013
2025,Peru,32,0.0007
2025,Italy,11,0.0002
2025,Taiwan,9,0.0002
2025,Nicaragua,37,0.0009